session_id,model,output_length,pre_gap,has_error,is_system_prompt_present,input_tokens,turn_number,turn_cost
swebench__astropy__astropy-13236__minimax,minimax-m2.5,77,0.7058,1,1,21930,13,0.00337805
swebench__astropy__astropy-13236__minimax,minimax-m2.5,162,0.708,1,1,23152,14,0.0036590999999999998
swebench__astropy__astropy-13236__minimax,minimax-m2.5,156,0.707,1,1,23691,15,0.00373305
swebench__astropy__astropy-13236__minimax,minimax-m2.5,179,0.6892,1,1,23969,16,0.0038012
swebench__astropy__astropy-13236__minimax,minimax-m2.5,98,0.7009,1,1,24279,17,0.0037545499999999997
swebench__astropy__astropy-13236__minimax,minimax-m2.5,80,0.7084,1,1,24556,18,0.0037754
swebench__astropy__astropy-13236__minimax,minimax-m2.5,78,0.7109,1,1,25198,19,0.0038694
swebench__astropy__astropy-13236__minimax,minimax-m2.5,70,0.7112,1,1,25425,20,0.0038942499999999997
swebench__astropy__astropy-13236__minimax,minimax-m2.5,196,0.7126,1,1,26331,21,0.00417505
swebench__astropy__astropy-13236__minimax,minimax-m2.5,68,0.6878,1,1,26647,22,0.004075249999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,84,0.6874,1,1,26894,23,0.004130699999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,177,0.7085,1,1,27447,24,0.0043206
swebench__astropy__astropy-13236__minimax,minimax-m2.5,236,1.2,1,1,27771,25,0.00443705
swebench__astropy__astropy-13236__minimax,minimax-m2.5,208,0.7289,1,1,28365,26,0.00449395
swebench__astropy__astropy-13236__minimax,minimax-m2.5,203,0.061,1,1,28420,27,0.004496449999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,159,0.6956,1,1,28996,28,0.00453225
swebench__astropy__astropy-13236__minimax,minimax-m2.5,88,0.0588,1,1,29051,29,0.0044588499999999994
swebench__astropy__astropy-13236__minimax,minimax-m2.5,90,0.7193,1,1,29246,30,0.0044904
swebench__astropy__astropy-13236__minimax,minimax-m2.5,191,0.721,1,1,29704,31,0.00467525
swebench__astropy__astropy-13236__minimax,minimax-m2.5,69,0.7288,1,1,30737,32,0.0046898999999999995
swebench__astropy__astropy-13236__minimax,minimax-m2.5,77,0.7181,1,1,32236,33,0.00492395
swebench__astropy__astropy-13236__minimax,minimax-m2.5,80,0.72,1,1,32441,34,0.00495815
swebench__astropy__astropy-13236__minimax,minimax-m2.5,99,0.722,1,1,33875,35,0.0051951
swebench__astropy__astropy-13236__minimax,minimax-m2.5,82,13.8641,1,1,34141,36,0.00521545
swebench__astropy__astropy-13236__minimax,minimax-m2.5,65,0.7021,1,1,34435,37,0.00524
swebench__astropy__astropy-13236__minimax,minimax-m2.5,103,0.7246,1,1,35785,38,0.0054862
swebench__astropy__astropy-13236__minimax,minimax-m2.5,87,1.2193,1,1,36061,39,0.0055092
swebench__astropy__astropy-13236__minimax,minimax-m2.5,96,0.7324,1,1,36282,40,0.0055527
swebench__astropy__astropy-13236__minimax,minimax-m2.5,185,0.7388,1,1,36487,41,0.0056858
swebench__astropy__astropy-13236__minimax,minimax-m2.5,80,0.7292,1,1,36980,42,0.005639
swebench__astropy__astropy-13236__minimax,minimax-m2.5,77,1.2423,1,1,37642,43,0.00573485
swebench__astropy__astropy-13236__minimax,minimax-m2.5,76,1.7181,1,1,38023,44,0.005790849999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,84,10.3257,1,1,39822,45,0.0060699
swebench__astropy__astropy-13236__minimax,minimax-m2.5,68,0.7235,1,1,40031,46,0.006082849999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,86,0.7384,1,1,40210,47,0.006130399999999999
swebench__astropy__astropy-13236__minimax,minimax-m2.5,113,0.7336,1,1,40866,48,0.00625985
swebench__astropy__astropy-13236__minimax,minimax-m2.5,422,7.2982,1,1,42653,49,0.00688325
swebench__astropy__astropy-13236__minimax,minimax-m2.5,97,0.694,1,1,43598,50,0.00665125
swebench__astropy__astropy-13398__minimax,minimax-m2.5,199,0.0,1,1,15834,1,0.00260395
swebench__astropy__astropy-13398__minimax,minimax-m2.5,136,0.0398,1,1,15887,2,0.00253945
swebench__astropy__astropy-13398__minimax,minimax-m2.5,66,0.7058,1,1,16203,3,0.0025063499999999996
swebench__astropy__astropy-13398__minimax,minimax-m2.5,67,0.693,1,1,17018,4,0.0026297499999999997
swebench__astropy__astropy-13398__minimax,minimax-m2.5,69,0.6914,1,1,17636,5,0.00272475
swebench__astropy__astropy-13398__minimax,minimax-m2.5,98,0.6921,1,1,18302,6,0.002858
swebench__astropy__astropy-13398__minimax,minimax-m2.5,200,0.064,1,1,20238,7,0.0032657
swebench__astropy__astropy-13398__minimax,minimax-m2.5,591,0.0901,1,1,21830,8,0.00395415
swebench__astropy__astropy-13398__minimax,minimax-m2.5,83,0.6911,1,1,22770,9,0.0035109499999999997
swebench__astropy__astropy-13398__minimax,minimax-m2.5,577,0.6985,1,1,23207,10,0.0041446
swebench__astropy__astropy-13398__minimax,minimax-m2.5,87,0.7006,1,1,24224,11,0.00373365
swebench__astropy__astropy-13398__minimax,minimax-m2.5,85,0.0344,1,1,24274,12,0.00373885
swebench__astropy__astropy-13398__minimax,minimax-m2.5,79,1.1981,1,1,24742,13,0.00380215
swebench__astropy__astropy-13398__minimax,minimax-m2.5,75,1.7215,1,1,25118,14,0.0038539499999999997
swebench__astropy__astropy-13398__minimax,minimax-m2.5,115,10.3445,1,1,26916,15,0.0041696500000000004
swebench__astropy__astropy-13398__minimax,minimax-m2.5,78,2.2271,1,1,27218,16,0.0041724
swebench__astropy__astropy-13398__minimax,minimax-m2.5,156,60.5532,1,1,27897,17,0.004363949999999999
swebench__astropy__astropy-13398__minimax,minimax-m2.5,843,1.2186,1,1,28250,18,0.00520695
swebench__astropy__astropy-13398__minimax,minimax-m2.5,733,1.219,1,1,29474,19,0.00526405
swebench__astropy__astropy-13398__minimax,minimax-m2.5,76,0.7132,1,1,30368,20,0.004642599999999999
swebench__astropy__astropy-13398__minimax,minimax-m2.5,98,0.7176,1,1,31293,21,0.00480665
swebench__astropy__astropy-13398__minimax,minimax-m2.5,61,0.716,1,1,31513,22,0.0047970999999999995
swebench__astropy__astropy-13398__minimax,minimax-m2.5,94,4.2681,1,1,31954,23,0.0049012
swebench__astropy__astropy-13398__minimax,minimax-m2.5,814,2.7532,1,1,32382,24,0.005793400000000001
swebench__astropy__astropy-13398__minimax,minimax-m2.5,467,1.2318,1,1,33738,25,0.005597749999999999
swebench__astropy__astropy-13398__minimax,minimax-m2.5,695,18.9709,1,1,34864,26,0.0060288500000000005
swebench__astropy__astropy-13398__minimax,minimax-m2.5,335,0.074,1,1,36434,27,0.00585035
swebench__astropy__astropy-13398__minimax,minimax-m2.5,1217,0.7224,1,1,36905,28,0.0069353
swebench__astropy__astropy-13398__minimax,minimax-m2.5,111,0.0895,1,1,38928,29,0.00596685
swebench__astropy__astropy-13398__minimax,minimax-m2.5,752,0.0811,1,1,39502,30,0.0067900999999999994
swebench__astropy__astropy-13398__minimax,minimax-m2.5,281,0.1303,1,1,40837,31,0.0064487
swebench__astropy__astropy-13398__minimax,minimax-m2.5,618,1.2366,1,1,41498,32,0.0069353999999999996
swebench__astropy__astropy-13398__minimax,minimax-m2.5,167,0.0708,1,1,41548,33,0.006424249999999999
swebench__astropy__astropy-13398__minimax,minimax-m2.5,493,1.7448,1,1,42098,34,0.00688165
swebench__astropy__astropy-13398__minimax,minimax-m2.5,745,0.0711,1,1,42153,35,0.0071797
swebench__astropy__astropy-13398__minimax,minimax-m2.5,382,1.2442,1,1,43358,36,0.0069429999999999995
swebench__astropy__astropy-13398__minimax,minimax-m2.5,1189,1.2468,1,1,44144,37,0.00798895
swebench__astropy__astropy-13398__minimax,minimax-m2.5,102,0.1405,1,1,46263,38,0.00705675
swebench__astropy__astropy-13398__minimax,minimax-m2.5,988,0.0938,1,1,46875,39,0.00816745
swebench__astropy__astropy-13398__minimax,minimax-m2.5,92,0.1396,1,1,48649,40,0.007403149999999999
swebench__astropy__astropy-13398__minimax,minimax-m2.5,311,1.7594,1,1,49017,41,0.0077101999999999995
swebench__astropy__astropy-13398__minimax,minimax-m2.5,354,1.2527,1,1,49749,42,0.00786945
swebench__astropy__astropy-13398__minimax,minimax-m2.5,118,1.2553,1,1,50501,43,0.007710849999999999
swebench__astropy__astropy-13398__minimax,minimax-m2.5,106,2.2547,1,1,50903,44,0.00775735
swebench__astropy__astropy-13398__minimax,minimax-m2.5,117,2.7782,1,1,51457,45,0.0078531
swebench__astropy__astropy-13398__minimax,minimax-m2.5,138,3.2852,1,1,52256,46,0.007997099999999998
swebench__astropy__astropy-13398__minimax,minimax-m2.5,722,301.2214,1,1,52912,47,0.0087671
swebench__astropy__astropy-13398__minimax,minimax-m2.5,529,0.0889,1,1,52966,48,0.00855325
swebench__astropy__astropy-13398__minimax,minimax-m2.5,498,0.7509,1,1,54967,49,0.008817750000000001
swebench__astropy__astropy-13398__minimax,minimax-m2.5,205,2.7827,1,1,55955,50,0.008629
swebench__astropy__astropy-13453__minimax,minimax-m2.5,120,0.0,1,1,15184,1,0.0024156
swebench__astropy__astropy-13453__minimax,minimax-m2.5,69,0.7184,1,1,15486,2,0.00240225
swebench__astropy__astropy-13453__minimax,minimax-m2.5,74,0.6745,1,1,16335,3,0.0025353499999999996
swebench__astropy__astropy-13453__minimax,minimax-m2.5,104,0.0272,1,1,16388,4,0.0025778
swebench__astropy__astropy-13453__minimax,minimax-m2.5,102,0.0597,1,1,21659,5,0.0033661499999999996
swebench__astropy__astropy-13453__minimax,minimax-m2.5,136,0.6771,1,1,21875,6,0.00343765
swebench__astropy__astropy-13453__minimax,minimax-m2.5,202,0.051,1,1,22923,7,0.00367075
swebench__astropy__astropy-13453__minimax,minimax-m2.5,84,0.6816,1,1,23250,8,0.0035841
swebench__astropy__astropy-13453__minimax,minimax-m2.5,242,0.0711,1,1,23673,9,0.0038292499999999998
swebench__astropy__astropy-13453__minimax,minimax-m2.5,215,0.694,1,1,24037,10,0.0038528
swebench__astropy__astropy-13453__minimax,minimax-m2.5,78,0.687,1,1,24336,11,0.0037400999999999997
swebench__astropy__astropy-13453__minimax,minimax-m2.5,247,0.0604,1,1,25043,12,0.0040405
swebench__astropy__astropy-13453__minimax,minimax-m2.5,86,0.7073,1,1,25416,13,0.0039112999999999995
swebench__astropy__astropy-13453__minimax,minimax-m2.5,128,0.0961,1,1,26434,14,0.0041123
swebench__astropy__astropy-13453__minimax,minimax-m2.5,83,0.6912,1,1,26675,15,0.0040967
swebench__astropy__astropy-13453__minimax,minimax-m2.5,77,0.0622,1,1,27535,16,0.0042188
swebench__astropy__astropy-13453__minimax,minimax-m2.5,87,0.7064,1,1,27727,17,0.0042591
swebench__astropy__astropy-13453__minimax,minimax-m2.5,83,0.0494,1,1,27778,18,0.00426215
swebench__astropy__astropy-13453__minimax,minimax-m2.5,650,0.0701,1,1,28666,19,0.0050474
swebench__astropy__astropy-13453__minimax,minimax-m2.5,290,0.0498,1,1,28720,20,0.0046415
swebench__astropy__astropy-13453__minimax,minimax-m2.5,64,0.4807,1,1,29170,21,0.0044491
swebench__astropy__astropy-13453__minimax,minimax-m2.5,54,10.2229,1,1,29379,22,0.004468949999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,62,10.2295,1,1,29593,23,0.0045102499999999995
swebench__astropy__astropy-13453__minimax,minimax-m2.5,81,0.7066,1,1,29777,24,0.0045597
swebench__astropy__astropy-13453__minimax,minimax-m2.5,197,1.2295,1,1,30010,25,0.004728049999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,50,0.6982,1,1,30582,26,0.0046448
swebench__astropy__astropy-13453__minimax,minimax-m2.5,48,1.228,1,1,30830,27,0.0046797
swebench__astropy__astropy-13453__minimax,minimax-m2.5,185,1.225,1,1,30984,28,0.00486035
swebench__astropy__astropy-13453__minimax,minimax-m2.5,197,1.2192,1,1,31496,29,0.00495095
swebench__astropy__astropy-13453__minimax,minimax-m2.5,98,0.0742,1,1,32080,30,0.0049247
swebench__astropy__astropy-13453__minimax,minimax-m2.5,179,0.724,1,1,32435,31,0.005071099999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,72,0.7316,1,1,32802,32,0.0050031
swebench__astropy__astropy-13453__minimax,minimax-m2.5,205,0.7292,1,1,33227,33,0.005219799999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,115,0.7291,1,1,33555,34,0.0051655
swebench__astropy__astropy-13453__minimax,minimax-m2.5,149,0.0706,1,1,33607,35,0.0052124
swebench__astropy__astropy-13453__minimax,minimax-m2.5,146,0.7118,1,1,33905,36,0.00525365
swebench__astropy__astropy-13453__minimax,minimax-m2.5,106,0.7104,1,1,34150,37,0.0052444
swebench__astropy__astropy-13453__minimax,minimax-m2.5,167,0.0881,1,1,34736,38,0.00540245
swebench__astropy__astropy-13453__minimax,minimax-m2.5,222,0.7384,1,1,35369,39,0.0055606499999999994
swebench__astropy__astropy-13453__minimax,minimax-m2.5,259,0.7093,1,1,35816,40,0.005670249999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,77,0.7396,1,1,36226,41,0.005522449999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,79,0.7395,1,1,36451,42,0.0055585
swebench__astropy__astropy-13453__minimax,minimax-m2.5,76,0.0782,1,1,36502,43,0.005562699999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,112,0.1082,1,1,37104,44,0.0056944
swebench__astropy__astropy-13453__minimax,minimax-m2.5,45,0.7407,1,1,37335,45,0.005651999999999999
swebench__astropy__astropy-13453__minimax,minimax-m2.5,93,2.276,1,1,37487,46,0.00573
swebench__astropy__astropy-13453__minimax,minimax-m2.5,48,0.722,1,1,37724,47,0.0057138
swebench__astropy__astropy-13453__minimax,minimax-m2.5,89,3.7803,1,1,37881,48,0.0057845
swebench__astropy__astropy-13453__minimax,minimax-m2.5,180,2.2692,1,1,38299,49,0.00595185
swebench__astropy__astropy-13453__minimax,minimax-m2.5,334,0.7431,1,1,38620,50,0.0061771
swebench__astropy__astropy-13579__minimax,minimax-m2.5,109,0.0,1,1,12311,1,0.001972
swebench__astropy__astropy-13579__minimax,minimax-m2.5,55,0.7319,1,1,12598,2,0.00195295
swebench__astropy__astropy-13579__minimax,minimax-m2.5,133,0.6838,1,1,13427,3,0.0021669999999999997
swebench__astropy__astropy-13579__minimax,minimax-m2.5,83,0.6886,1,1,13654,4,0.0021435499999999997
swebench__astropy__astropy-13579__minimax,minimax-m2.5,585,0.0875,1,1,17558,5,0.00330645
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1854,0.0508,1,1,18720,6,0.004940099999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,77,0.4805,1,1,20895,7,0.0032228
swebench__astropy__astropy-13579__minimax,minimax-m2.5,463,58.5251,1,1,21077,8,0.003694
swebench__astropy__astropy-13579__minimax,minimax-m2.5,490,0.1687,1,1,21575,9,0.00379975
swebench__astropy__astropy-13579__minimax,minimax-m2.5,574,1.2121,1,1,22347,10,0.00401215
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1071,1.2254,1,1,23247,11,0.004718699999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,559,1.2257,1,1,24635,12,0.0043381
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1524,1.2215,1,1,25534,13,0.0055826999999999995
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1008,0.0406,1,1,27398,14,0.0052689
swebench__astropy__astropy-13579__minimax,minimax-m2.5,537,0.0995,1,1,29363,15,0.0050219999999999996
swebench__astropy__astropy-13579__minimax,minimax-m2.5,897,1.2246,1,1,30225,16,0.0055653
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1437,1.2301,1,1,31519,17,0.0063804
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1599,1.2391,1,1,33631,18,0.006883499999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1132,1.2354,1,1,35714,19,0.006658900000000001
swebench__astropy__astropy-13579__minimax,minimax-m2.5,615,1.2351,1,1,37174,20,0.00628335
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1783,0.0759,1,1,38870,21,0.00788095
swebench__astropy__astropy-13579__minimax,minimax-m2.5,107,0.0925,1,1,41781,22,0.0063902
swebench__astropy__astropy-13579__minimax,minimax-m2.5,532,0.0523,1,1,42319,23,0.0069596499999999995
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1575,1.216,1,1,43176,24,0.008287649999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,967,0.0362,1,1,43226,25,0.00759595
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1065,1.2387,1,1,44447,26,0.0078918
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1115,0.0667,1,1,44498,27,0.007956949999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1289,1.244,1,1,45940,28,0.00837335
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1806,1.2546,1,1,47889,29,0.00926025
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1667,1.2536,1,1,50518,30,0.00949475
swebench__astropy__astropy-13579__minimax,minimax-m2.5,529,0.1316,1,1,53473,31,0.0086293
swebench__astropy__astropy-13579__minimax,minimax-m2.5,2219,1.2622,1,1,54329,32,0.0107012
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1438,1.2655,1,1,57391,33,0.010262349999999998
swebench__astropy__astropy-13579__minimax,minimax-m2.5,956,1.2544,1,1,59332,34,0.0099992
swebench__astropy__astropy-13579__minimax,minimax-m2.5,965,0.7226,1,1,61473,35,0.0103307
swebench__astropy__astropy-13579__minimax,minimax-m2.5,130,0.079,1,1,61528,36,0.0093787
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1538,0.7438,1,1,62172,37,0.0110945
swebench__astropy__astropy-13579__minimax,minimax-m2.5,664,1.2209,1,1,64438,38,0.010429299999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,140,0.7052,1,1,65334,39,0.009961099999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1072,0.0712,1,1,65995,40,0.011132050000000001
swebench__astropy__astropy-13579__minimax,minimax-m2.5,569,1.2115,1,1,67360,41,0.01075835
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1635,1.2189,1,1,68264,42,0.01211985
swebench__astropy__astropy-13579__minimax,minimax-m2.5,480,0.1089,1,1,70973,43,0.01119795
swebench__astropy__astropy-13579__minimax,minimax-m2.5,538,1.2207,1,1,71730,44,0.0113782
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1625,1.2229,1,1,72596,45,0.01275815
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1258,301.78,1,1,74953,46,0.01268965
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1661,1.2727,1,1,76344,47,0.013361749999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,491,0.1539,1,1,79215,48,0.012446899999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,550,1.2771,1,1,79997,49,0.012632049999999999
swebench__astropy__astropy-13579__minimax,minimax-m2.5,1361,1.2794,1,1,80892,50,0.01369895
swebench__astropy__astropy-13977__minimax,minimax-m2.5,85,0.0,1,1,12101,1,0.0019129
swebench__astropy__astropy-13977__minimax,minimax-m2.5,114,0.044,1,1,12154,2,0.0019542
swebench__astropy__astropy-13977__minimax,minimax-m2.5,60,0.7117,1,1,12457,3,0.00193755
swebench__astropy__astropy-13977__minimax,minimax-m2.5,81,0.6922,1,1,13295,4,0.0020874
swebench__astropy__astropy-13977__minimax,minimax-m2.5,72,0.6836,1,1,13943,5,0.00217425
swebench__astropy__astropy-13977__minimax,minimax-m2.5,108,0.6901,1,1,14680,6,0.0023262
swebench__astropy__astropy-13977__minimax,minimax-m2.5,81,0.0932,1,1,15340,7,0.0023941500000000003
swebench__astropy__astropy-13977__minimax,minimax-m2.5,93,0.6901,1,1,15637,8,0.0024525000000000003
swebench__astropy__astropy-13977__minimax,minimax-m2.5,85,0.0339,1,1,15688,9,0.00245095
swebench__astropy__astropy-13977__minimax,minimax-m2.5,632,0.0522,1,1,17290,10,0.0033203
swebench__astropy__astropy-13977__minimax,minimax-m2.5,343,0.0376,1,1,17344,11,0.00299605
swebench__astropy__astropy-13977__minimax,minimax-m2.5,62,0.7019,1,1,17803,12,0.00274175
swebench__astropy__astropy-13977__minimax,minimax-m2.5,82,0.7037,1,1,17995,13,0.0027935499999999997
swebench__astropy__astropy-13977__minimax,minimax-m2.5,78,0.0657,1,1,19185,14,0.0029674499999999995
swebench__astropy__astropy-13977__minimax,minimax-m2.5,80,0.7003,1,1,19425,15,0.0030057499999999997
swebench__astropy__astropy-13977__minimax,minimax-m2.5,991,0.0686,1,1,20070,16,0.00415015
swebench__astropy__astropy-13977__minimax,minimax-m2.5,155,0.709,1,1,21558,17,0.00341195
swebench__astropy__astropy-13977__minimax,minimax-m2.5,409,0.7047,1,1,22188,18,0.00379855
swebench__astropy__astropy-13977__minimax,minimax-m2.5,235,0.719,1,1,23029,19,0.0037246
swebench__astropy__astropy-13977__minimax,minimax-m2.5,289,0.062,1,1,23608,20,0.00387355
swebench__astropy__astropy-13977__minimax,minimax-m2.5,80,0.7109,1,1,24023,21,0.00369545
swebench__astropy__astropy-13977__minimax,minimax-m2.5,561,0.0652,1,1,24266,22,0.0042850499999999994
swebench__astropy__astropy-13977__minimax,minimax-m2.5,122,0.0693,1,1,25299,23,0.00393515
swebench__astropy__astropy-13977__minimax,minimax-m2.5,76,0.7336,1,1,25705,24,0.003943149999999999
swebench__astropy__astropy-13977__minimax,minimax-m2.5,693,0.7209,1,1,26261,25,0.0047361
swebench__astropy__astropy-13977__minimax,minimax-m2.5,289,0.7212,1,1,27248,26,0.00441955
swebench__astropy__astropy-13977__minimax,minimax-m2.5,846,0.7248,1,1,27809,27,0.0051442499999999995
swebench__astropy__astropy-13977__minimax,minimax-m2.5,1169,0.7296,1,1,28963,28,0.0056888
