session_id,model,output_length,pre_gap,is_system_prompt_present,input_tokens,turn_number,has_error,turn_cost
gaia__L2_076c8171-9b3b-49__claude,claude-sonnet-4-6,1582,0.0725,0,14952,19,0,0.06858600000000001
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,62,0.0,0,472,1,0,0.002346
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,65,7.5772,0,5477,2,0,0.017406
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,46,3.6667,0,9825,3,0,0.030165
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,193,3.6598,0,14140,4,0,0.045315
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,64,2.3047,0,14583,5,0,0.044709000000000006
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,188,4.1577,0,18554,6,0,0.058482000000000006
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,65,31.4774,0,18836,7,0,0.05748299999999999
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,165,1.7418,0,19164,8,0,0.059967
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,61,2.3269,0,19379,9,0,0.059052
gaia__L2_08c0b6e9-1b43-4c__claude,claude-sonnet-4-6,115,1.7182,0,19489,10,0,0.060191999999999996
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,69,0.0,0,446,1,0,0.002373
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,91,6.5833,0,2504,2,0,0.008877000000000001
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,210,2.0875,0,4724,3,0,0.017322
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,224,2.8965,0,6918,4,0,0.024113999999999997
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,241,6.162,0,10256,5,0,0.034383
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,297,2.9788,0,12482,6,0,0.041901
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,680,3.9519,0,13690,7,0,0.05127
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,256,0.2509,0,14346,8,0,0.046878
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,203,16.5684,0,14777,9,0,0.047376
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,270,2.0117,0,15361,10,0,0.050133
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,209,2.2753,0,16564,11,0,0.052827
gaia__L2_08cae58d-4084-46__claude,claude-sonnet-4-6,686,2.2264,0,16880,12,0,0.06093
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,86,0.0,0,506,1,0,0.0028080000000000006
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,94,5.4072,0,2137,2,0,0.007821
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,79,1.8556,0,3444,3,0,0.011517000000000001
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,62,2.241,0,4859,4,0,0.015507
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,137,1.8473,0,6434,5,0,0.021357
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,129,3.0642,0,9993,6,0,0.031914
gaia__L2_0a65cb96-cb6e-4a__claude,claude-sonnet-4-6,188,2.0933,0,13407,7,0,0.043041
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,91,0.0,0,464,1,0,0.002757
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,101,4.9658,0,1327,2,0,0.005496
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,114,10.3056,0,3399,3,0,0.011907000000000001
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,85,2.855,0,4667,4,0,0.015276
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,107,9.5267,0,7523,5,0,0.024173999999999998
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,153,2.4511,0,10439,6,0,0.033611999999999996
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,172,2.371,0,11597,7,0,0.037371
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,46,2.8599,0,12346,8,0,0.037728000000000005
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,128,1.8316,0,15682,9,0,0.048966
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,281,3.9485,0,19521,10,0,0.062778
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,179,19.018,0,22739,11,0,0.07090199999999999
gaia__L2_0b260a57-3f3a-44__claude,claude-sonnet-4-6,251,8.8375,0,23960,12,0,0.075645
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,86,0.0,0,470,1,0,0.0027
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,110,6.0501,0,3782,2,0,0.012996
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,62,0.2659,0,3960,3,0,0.01281
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,73,2.04,0,4114,4,0,0.013437
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,63,5.8873,0,4299,5,0,0.013841999999999998
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,226,2.6006,0,6248,6,0,0.022134
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,62,0.2615,0,6496,7,0,0.020418
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,63,2.0008,0,8068,8,0,0.025149000000000005
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,1399,1.9506,0,9660,9,0,0.049964999999999996
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,65,0.2434,0,10803,10,0,0.033384
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,967,2.4927,0,14048,11,0,0.056649000000000005
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,67,0.2573,0,14881,12,0,0.045648
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,46,3.8686,0,18673,13,0,0.056709
gaia__L2_0bb3b44a-ede5-4d__claude,claude-sonnet-4-6,46,2.451,0,22793,14,0,0.06906899999999999
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,104,0.0,0,467,1,0,0.002961
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,88,5.1579,0,3594,2,0,0.012102
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,64,1.8327,0,6299,3,0,0.019857
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,249,1.8016,0,10629,4,0,0.035622
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,88,4.9563,0,11965,5,0,0.037215
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,66,4.4915,0,22503,6,0,0.068499
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,115,2.7534,0,35164,7,0,0.107217
gaia__L2_0e9e85b8-52b9-4d__claude,claude-sonnet-4-6,113,2.9242,0,38697,8,0,0.117786
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,114,0.0,0,458,1,0,0.003084
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,81,4.8951,0,728,2,0,0.003399
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,75,2.0795,0,1057,3,0,0.004296
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,82,1.8041,0,1455,4,0,0.005595
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,46,2.8595,0,1931,5,0,0.006482999999999999
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,75,1.6602,0,3221,6,0,0.010787999999999999
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,102,2.7175,0,5041,7,0,0.016653
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,46,2.1091,0,5542,8,0,0.017316
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,88,1.6079,0,6851,9,0,0.021873000000000004
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,46,2.1531,0,7334,10,0,0.022692
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,97,1.6499,0,8628,11,0,0.027339000000000002
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,46,1.981,0,9362,12,0,0.028776
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,103,1.6806,0,11825,13,0,0.03702
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,64,1.8495,0,12143,14,0,0.037389
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,65,7.8427,0,14979,15,0,0.045911999999999994
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,97,1.7079,0,17562,16,0,0.054141
gaia__L2_0ff53813-3367-4f__claude,claude-sonnet-4-6,46,4.0185,0,23689,17,0,0.071757
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,86,0.0,0,465,1,0,0.002685
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,71,6.7774,0,862,2,0,0.003651
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,72,1.7331,0,1388,3,0,0.0052439999999999995
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,63,1.937,0,1507,4,0,0.005466
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,105,1.7847,0,1931,5,0,0.0073679999999999995
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,72,2.3365,0,2292,6,0,0.007956
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,74,1.9001,0,2467,7,0,0.008511
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,99,3.2938,0,4193,8,0,0.014064
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,65,0.2988,0,4328,9,0,0.013959000000000001
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,76,1.5437,0,4437,10,0,0.014451
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,131,0.2686,0,5744,11,0,0.019197000000000002
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,81,0.3821,0,6023,12,0,0.019284
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,65,2.2854,0,6365,13,0,0.02007
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,75,1.9765,0,6560,14,0,0.020805
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,90,2.5782,0,7739,15,0,0.024567000000000002
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,78,4.0023,0,8482,16,0,0.026616
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,46,2.0013,0,9219,17,0,0.028347
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,96,1.7038,0,10292,18,0,0.032316
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,89,2.4488,0,10469,19,0,0.032742
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,98,1.6155,0,10598,20,0,0.033264
gaia__L2_114d5fd0-e2ae-4b__claude,claude-sonnet-4-6,66,1.1494,0,12013,21,0,0.037029
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,77,0.0,0,500,1,0,0.0026550000000000002
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,1239,5.6917,0,4344,2,0,0.031617
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,1382,0.2495,0,5295,3,0,0.036614999999999995
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,149,0.2477,0,6281,4,0,0.021078
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,2764,0.2546,0,6559,5,0,0.061137
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,225,0.2653,0,8418,6,0,0.028628999999999998
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,87,0.0592,0,8627,7,0,0.027186
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,60,1.8678,0,8809,8,0,0.027327000000000004
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,91,1.7311,0,8949,9,0,0.028212000000000004
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,54,0.2438,0,9072,10,0,0.028026000000000002
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,119,0.063,0,9185,11,0,0.029340000000000005
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,111,0.0629,0,9364,12,0,0.029757000000000002
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,109,0.2326,0,9623,13,0,0.030504
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,166,0.2841,0,9763,14,0,0.031779
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,98,0.067,0,9957,15,0,0.031341
gaia__L2_14569e28-c88c-43__claude,claude-sonnet-4-6,119,0.0671,0,10114,16,0,0.032127
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,103,0.0,0,476,1,0,0.002973
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,65,5.9798,0,824,2,0,0.0034469999999999995
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,64,2.7963,0,942,3,0,0.003786
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,54,2.2208,0,1059,4,0,0.003987
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,65,3.4634,0,1563,5,0,0.005664
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,69,2.072,0,1680,6,0,0.0060750000000000005
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,96,1.0028,0,1793,7,0,0.006819
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,75,0.9897,0,1924,8,0,0.0068969999999999995
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,74,0.4912,0,2037,9,0,0.007221
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,89,0.4843,0,2618,10,0,0.009189
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,150,0.9942,0,2756,11,0,0.010518000000000001
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,65,0.4949,0,2947,12,0,0.009816
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,64,2.2445,0,3065,13,0,0.010155
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,63,2.2155,0,3231,14,0,0.010638
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,84,4.0179,0,6327,15,0,0.020241000000000002
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,60,3.8347,0,6464,16,0,0.020292
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,61,2.4189,0,7749,17,0,0.024162
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,60,2.5973,0,7910,18,0,0.024630000000000003
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,57,1.6868,0,8017,19,0,0.024906
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,58,1.6191,0,8162,20,0,0.025356
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,66,2.208,0,8314,21,0,0.025932
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,54,0.8025,0,8419,22,0,0.026067
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,78,2.2092,0,8557,23,0,0.026841
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,77,4.7354,0,9748,24,0,0.030399
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,87,3.359,0,10952,25,0,0.034161
gaia__L2_16d825ff-1623-41__claude,claude-sonnet-4-6,63,1.5612,0,11079,26,0,0.034182000000000004
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,118,0.0,0,529,1,0,0.0033569999999999997
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,93,6.9508,0,3194,2,0,0.010977
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,90,2.4383,0,5531,3,0,0.017943
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,62,1.7622,0,5666,4,0,0.017928
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,65,1.7696,0,7321,5,0,0.022938
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,93,2.4373,0,8432,6,0,0.026691
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,128,4.3347,0,9769,7,0,0.031226999999999998
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,194,2.1498,0,11219,8,0,0.036567
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,75,2.2692,0,11634,9,0,0.036027
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,46,2.1782,0,12337,10,0,0.037701000000000005
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,60,1.5105,0,12665,11,0,0.038895
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,83,2.3,0,15384,12,0,0.047397
gaia__L2_17b5a6a3-bc87-42__claude,claude-sonnet-4-6,151,5.3362,0,17612,13,0,0.055101
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,82,0.0,0,453,1,0,0.002589
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,97,5.4,0,1032,2,0,0.0045509999999999995
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,126,2.1026,0,1619,3,0,0.006747
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,104,0.7519,0,1785,4,0,0.006914999999999999
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,105,0.7614,0,1931,5,0,0.0073679999999999995
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,105,0.7324,0,2077,6,0,0.007806
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,98,0.7452,0,2224,7,0,0.008142
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,121,0.7488,0,2366,8,0,0.008913
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,135,12.2827,0,3049,9,0,0.011172000000000001
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,139,1.1352,0,3633,10,0,0.012983999999999999
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,117,1.0847,0,4113,11,0,0.014094
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,136,2.0389,0,4726,12,0,0.016218
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,85,0.7555,0,4907,13,0,0.015996
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,107,0.7761,0,5043,14,0,0.016734
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,114,0.7579,0,5189,15,0,0.017277
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,102,0.7466,0,5348,16,0,0.017574000000000003
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,130,0.7721,0,5492,17,0,0.018426
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,75,0.7567,0,5671,18,0,0.018138
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,206,0.7466,0,6068,19,0,0.021293999999999997
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,265,1.1021,0,6304,20,0,0.022886999999999998
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,127,1.6406,0,6612,21,0,0.021741
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,104,0.7497,0,6780,22,0,0.021899999999999996
gaia__L2_1dcc160f-c187-48__claude,claude-sonnet-4-6,68,0.7618,0,6926,23,0,0.021797999999999998
